link_id,fir_id,criminal_id,role
1,955,1059,accused
2,955,420,accused
3,1987,531,accused
4,1987,731,accused
5,5126,112,accused
6,5126,296,accused
7,5126,438,accused
8,4036,134,accused
9,4109,772,accused
10,3645,518,accused
11,3645,296,accused
12,553,218,accused
13,553,764,accused
14,4432,652,accused
15,4432,269,accused
16,4432,588,accused
17,3863,379,accused
18,3863,859,accused
19,3863,510,accused
20,5394,648,accused
21,5394,758,accused
22,4962,1008,accused
23,3779,1184,accused
24,3779,771,accused
25,5456,1173,accused
26,5456,375,accused
27,5456,197,accused
28,4297,246,accused
29,4297,1168,accused
30,5252,565,accused
31,5252,127,accused
32,4744,821,accused
33,4744,750,accused
34,1358,163,accused
35,1358,153,accused
36,4683,873,accused
37,4683,104,accused
38,4683,363,accused
39,1979,307,accused
40,1979,491,accused
41,1979,733,accused
42,479,322,accused
43,479,861,accused
44,479,769,accused
45,4705,570,accused
46,472,200,accused
47,472,950,accused
48,472,1113,accused
49,3693,201,accused
50,3693,881,accused
51,3693,1000,accused
52,3867,957,accused
53,3867,281,accused
54,3867,260,accused
55,1154,1144,accused
56,1154,783,accused
57,1154,212,accused
58,2618,312,accused
59,2618,239,accused
60,4541,938,accused
61,4541,648,accused
62,4541,491,accused
63,2448,743,accused
64,2448,981,accused
65,399,350,accused
66,399,356,accused
67,425,878,accused
68,425,995,accused
69,425,25,accused
70,4966,632,accused
71,4966,972,accused
72,4966,146,accused
73,5253,608,accused
74,5253,131,accused
75,5253,466,accused
76,44,531,accused
77,44,893,accused
78,44,21,accused
79,3397,288,accused
80,3397,1067,accused
81,3397,475,accused
82,1532,671,accused
83,1532,987,accused
84,5189,957,accused
85,2713,172,accused
86,213,1136,accused
87,213,26,accused
88,213,77,accused
89,4798,1194,accused
90,4798,687,accused
91,2228,440,accused
92,3345,179,accused
93,3345,1078,accused
94,3345,615,accused
95,3148,365,accused
96,3148,93,accused
97,3235,669,accused
98,3235,803,accused
99,31,89,accused
100,31,8,accused
101,2739,1123,accused
102,2739,679,accused
103,2739,623,accused
104,16,546,accused
105,3411,1083,accused
106,3411,14,accused
107,3411,1065,accused
108,4235,274,accused
109,4235,1065,accused
110,4646,521,accused
111,4646,310,accused
112,216,914,accused
113,216,187,accused
114,1496,107,accused
115,1496,639,accused
116,1496,733,accused
117,2977,1098,accused
118,3029,885,accused
119,3029,1039,accused
120,1282,449,accused
121,1282,1037,accused
122,1282,491,accused
123,4142,657,accused
124,4142,320,accused
125,4268,45,accused
126,4268,862,accused
127,4892,788,accused
