fir_id,fir_number,station_id,crime_head_id,date_registered,year,month,status,description,victim_age,victim_gender,accused_count,latitude,longitude,is_cyber,is_economic,chargesheet_filed
1,FIR/2024/KA01/00001,67,20,2024-01-06,2024,1,under_investigation,FIR registered for Dowry Death at Nagi Road.,43.0,Female,5,12.930745415324969,77.70769366089992,0,0,0
2,FIR/2023/KA27/00001,1019,30,2023-12-03,2023,12,pending_trial,FIR registered for Extortion at Buch Zila.,70.0,Female,2,16.247832536319688,75.62232300772344,0,0,1
3,FIR/2022/KA26/00001,987,1,2022-07-19,2022,7,registered,Complaint received regarding theft of two-wheeler worth Rs.218455.,50.0,Female,3,15.245149618607106,76.1933786897029,0,0,0
4,FIR/2023/KA01/00002,17,10,2023-05-18,2023,5,closed,FIR registered for Sexual Harassment at Sehgal Road.,54.0,Female,2,12.905341931401866,77.60172754901207,0,0,1
5,FIR/2023/KA01/00003,98,27,2023-08-22,2023,8,chargesheeted,FIR registered for Hurt/Grievous Hurt at Sandhu.,34.0,Male,4,13.058944471902327,77.56971192133462,0,0,1
6,FIR/2022/KA01/00004,101,16,2022-11-23,2022,11,under_investigation,Victim lost Rs.221229 through online fraud/UPI scam.,18.0,Other,3,12.990501304374483,77.53202637720648,1,0,0
7,FIR/2024/KA15/00001,700,1,2024-11-24,2024,11,closed,Complaint received regarding theft of mobile phone worth Rs.295744.,40.0,Male,5,15.533094031298752,75.78233072436255,0,0,1
8,FIR/2022/KA14/00001,637,2,2022-11-07,2022,11,chargesheeted,FIR registered for House Breaking & Theft at Pandit Nagar.,31.0,Male,2,15.614565619202642,74.91209038839847,0,0,1
9,FIR/2024/KA16/00001,730,22,2024-06-05,2024,6,closed,FIR registered for POCSO Act at Saran.,60.0,Female,5,14.802236947046115,75.37849357349081,0,0,1
10,FIR/2023/KA13/00001,635,1,2023-01-28,2023,1,chargesheeted,Complaint received regarding theft of cash worth Rs.170369.,74.0,Other,3,16.156897214064262,77.4017337873071,0,0,1
11,FIR/2024/KA01/00005,42,28,2024-09-09,2024,9,under_investigation,FIR registered for Criminal Trespass at Ravi Zila.,45.0,Female,5,13.029482505881333,77.64545155846648,0,0,0
