city,state,year,total_cases,ipc_cases,bns_cases,crime_rate,chargesheet_rate,stat_type,source_table
Bengaluru,Karnataka,2022,28666,,,,,overall,table_1b.1.xlsx
Bengaluru,Karnataka,2023,41637,,,,,overall,table_1b.1.xlsx
Bengaluru,Karnataka,2024,34715,20300.0,14415.0,408.5,63.4,overall,table_1b.1.xlsx
Bengaluru,Karnataka,2022,17521,,,,,sll,table_1b.2.xlsx
Bengaluru,Karnataka,2023,26883,,,,,sll,table_1b.2.xlsx
Bengaluru,Karnataka,2024,22840,,,268.7,40.7,sll,table_1b.2.xlsx
Bengaluru,Karnataka,2022,46187,,,,,total_ipc_sll,table_1b.3.xlsx
Bengaluru,Karnataka,2023,68520,,,,,total_ipc_sll,table_1b.3.xlsx
Bengaluru,Karnataka,2024,57555,,,677.2,54.4,total_ipc_sll,table_1b.3.xlsx
Bengaluru,Karnataka,2022,3924,,,,,women,table_3b.1.xlsx
Bengaluru,Karnataka,2023,4870,,,,,women,table_3b.1.xlsx
Bengaluru,Karnataka,2024,4748,,,117.0,70.5,women,table_3b.1.xlsx
Bengaluru,Karnataka,2022,1578,,,,,children,table_4b.1.xlsx
Bengaluru,Karnataka,2023,1982,,,,,children,table_4b.1.xlsx
Bengaluru,Karnataka,2024,2026,,,,,children,table_4b.1.xlsx
Bengaluru,Karnataka,2022,458,,,,,senior,vol2-6b.1.xlsx
Bengaluru,Karnataka,2023,649,,,,,senior,vol2-6b.1.xlsx
Bengaluru,Karnataka,2024,660,442.0,218.0,,57.4,senior,vol2-6b.1.xlsx
Bengaluru,Karnataka,2022,231,,,,,sc,vol2-7b.1.xlsx
Bengaluru,Karnataka,2023,285,,,,,sc,vol2-7b.1.xlsx
Bengaluru,Karnataka,2024,280,,,,,sc,vol2-7b.1.xlsx
Bengaluru,Karnataka,2022,16,,,,,st,vol2-7d.1.xlsx
Bengaluru,Karnataka,2023,16,,,,,st,vol2-7d.1.xlsx
Bengaluru,Karnataka,2024,23,,,,,st,vol2-7d.1.xlsx
Bengaluru,Karnataka,2022,3245,,,,,economic,vol2-8b.1.xlsx
Bengaluru,Karnataka,2023,3858,,,,,economic,vol2-8b.1.xlsx
Bengaluru,Karnataka,2024,3477,,,40.9,49.1,economic,vol2-8b.1.xlsx
Bengaluru,Karnataka,2022,9940,,,,,cyber,vol2-9b.1.xlsx
Bengaluru,Karnataka,2023,17631,,,,,cyber,vol2-9b.1.xlsx
Bengaluru,Karnataka,2024,17561,,,206.6,24.2,cyber,vol2-9b.1.xlsx
