city,state,year,total_cases,ipc_cases,bns_cases,crime_rate,chargesheet_rate,stat_type,source_table
Bengaluru,Karnataka,2022,28666,,,,,overall,table_1b.1.xlsx
Bengaluru,Karnataka,2023,41637,,,,,overall,table_1b.1.xlsx
Bengaluru,Karnataka,2024,34715,20300.0,14415.0,408.5,63.4,overall,table_1b.1.xlsx
Chennai,Tamil Nadu,2022,15086,,,,,overall,table_1b.1.xlsx
Chennai,Tamil Nadu,2023,15698,,,,,overall,table_1b.1.xlsx
Chennai,Tamil Nadu,2024,15765,9867.0,5898.0,181.3,71.6,overall,table_1b.1.xlsx
Coimbatore,Tamil Nadu,2022,4542,,,,,overall,table_1b.1.xlsx
Coimbatore,Tamil Nadu,2023,4697,,,,,overall,table_1b.1.xlsx
Coimbatore,Tamil Nadu,2024,4844,2781.0,2063.0,225.2,74.0,overall,table_1b.1.xlsx
Delhi City,,2022,298988,,,,,overall,table_1b.1.xlsx
Delhi City,,2023,323549,,,,,overall,table_1b.1.xlsx
Delhi City,,2024,275402,136669.0,138733.0,1688.0,31.9,overall,table_1b.1.xlsx
Ghaziabad,Uttar Pradesh,2022,9860,,,,,overall,table_1b.1.xlsx
Ghaziabad,Uttar Pradesh,2023,9227,,,,,overall,table_1b.1.xlsx
Ghaziabad,Uttar Pradesh,2024,8963,4856.0,4107.0,379.9,52.3,overall,table_1b.1.xlsx
Hyderabad,Telangana,2022,20668,,,,,overall,table_1b.1.xlsx
Hyderabad,Telangana,2023,21774,,,,,overall,table_1b.1.xlsx
Hyderabad,Telangana,2024,27031,16114.0,10917.0,348.8,56.9,overall,table_1b.1.xlsx
Indore,Madhya Pradesh,2022,16636,,,,,overall,table_1b.1.xlsx
Indore,Madhya Pradesh,2023,18126,,,,,overall,table_1b.1.xlsx
Indore,Madhya Pradesh,2024,12169,7059.0,5110.0,561.6,63.4,overall,table_1b.1.xlsx
Jaipur,Rajasthan,2022,28171,,,,,overall,table_1b.1.xlsx
Jaipur,Rajasthan,2023,29971,,,,,overall,table_1b.1.xlsx
Jaipur,Rajasthan,2024,27743,17771.0,9972.0,902.8,37.4,overall,table_1b.1.xlsx
Kanpur,Uttar Pradesh,2022,11721,,,,,overall,table_1b.1.xlsx
Kanpur,Uttar Pradesh,2023,10652,,,,,overall,table_1b.1.xlsx
Kanpur,Uttar Pradesh,2024,12350,6183.0,6167.0,422.9,77.3,overall,table_1b.1.xlsx
Kochi,Kerala,2022,13273,,,,,overall,table_1b.1.xlsx
Kochi,Kerala,2023,24729,,,,,overall,table_1b.1.xlsx
Kochi,Kerala,2024,10043,6343.0,3700.0,474.2,92.9,overall,table_1b.1.xlsx
Kolkata,West Bengal,2022,11038,,,,,overall,table_1b.1.xlsx
Kolkata,West Bengal,2023,10943,,,,,overall,table_1b.1.xlsx
Kolkata,West Bengal,2024,11864,6138.0,5726.0,84.1,95.3,overall,table_1b.1.xlsx
Kozhikode,Kerala,2022,8074,,,,,overall,table_1b.1.xlsx
Kozhikode,Kerala,2023,10605,,,,,overall,table_1b.1.xlsx
Kozhikode,Kerala,2024,10310,5683.0,4627.0,507.6,93.5,overall,table_1b.1.xlsx
Lucknow,Uttar Pradesh,2022,15115,,,,,overall,table_1b.1.xlsx
Lucknow,Uttar Pradesh,2023,16023,,,,,overall,table_1b.1.xlsx
Lucknow,Uttar Pradesh,2024,14467,10318.0,4149.0,498.7,69.3,overall,table_1b.1.xlsx
Mumbai,Maharashtra,2022,69289,,,,,overall,table_1b.1.xlsx
Mumbai,Maharashtra,2023,44873,,,,,overall,table_1b.1.xlsx
Mumbai,Maharashtra,2024,51428,29792.0,21636.0,279.3,74.7,overall,table_1b.1.xlsx
Nagpur,Maharashtra,2022,12889,,,,,overall,table_1b.1.xlsx
Nagpur,Maharashtra,2023,17297,,,,,overall,table_1b.1.xlsx
Nagpur,Maharashtra,2024,15787,9291.0,6496.0,632.0,69.8,overall,table_1b.1.xlsx
Patna,Bihar,2022,12522,,,,,overall,table_1b.1.xlsx
Patna,Bihar,2023,14317,,,,,overall,table_1b.1.xlsx
Patna,Bihar,2024,12468,8139.0,4329.0,609.1,69.9,overall,table_1b.1.xlsx
Pune,Maharashtra,2022,11074,,,,,overall,table_1b.1.xlsx
Pune,Maharashtra,2023,12542,,,,,overall,table_1b.1.xlsx
Pune,Maharashtra,2024,13708,7628.0,6080.0,271.4,76.7,overall,table_1b.1.xlsx
Surat,Gujarat,2022,9872,,,,,overall,table_1b.1.xlsx
Surat,Gujarat,2023,11453,,,,,overall,table_1b.1.xlsx
Surat,Gujarat,2024,11233,5771.0,5462.0,245.0,87.7,overall,table_1b.1.xlsx
Bengaluru,Karnataka,2022,17521,,,,,sll,table_1b.2.xlsx
Bengaluru,Karnataka,2023,26883,,,,,sll,table_1b.2.xlsx
Bengaluru,Karnataka,2024,22840,,,268.7,40.7,sll,table_1b.2.xlsx
Chennai,Tamil Nadu,2022,24052,,,,,sll,table_1b.2.xlsx
Chennai,Tamil Nadu,2023,20804,,,,,sll,table_1b.2.xlsx
Chennai,Tamil Nadu,2024,30001,,,345.0,99.6,sll,table_1b.2.xlsx
Coimbatore,Tamil Nadu,2022,4708,,,,,sll,table_1b.2.xlsx
Coimbatore,Tamil Nadu,2023,4115,,,,,sll,table_1b.2.xlsx
Coimbatore,Tamil Nadu,2024,3098,,,144.0,91.4,sll,table_1b.2.xlsx
Delhi City,,2022,19567,,,,,sll,table_1b.2.xlsx
Delhi City,,2023,19934,,,,,sll,table_1b.2.xlsx
Delhi City,,2024,22264,,,136.5,98.9,sll,table_1b.2.xlsx
Ghaziabad,Uttar Pradesh,2022,3347,,,,,sll,table_1b.2.xlsx
Ghaziabad,Uttar Pradesh,2023,2157,,,,,sll,table_1b.2.xlsx
Ghaziabad,Uttar Pradesh,2024,1567,,,66.4,69.1,sll,table_1b.2.xlsx
Hyderabad,Telangana,2022,2515,,,,,sll,table_1b.2.xlsx
Hyderabad,Telangana,2023,3975,,,,,sll,table_1b.2.xlsx
Hyderabad,Telangana,2024,3278,,,42.3,75.9,sll,table_1b.2.xlsx
Indore,Madhya Pradesh,2022,10491,,,,,sll,table_1b.2.xlsx
Indore,Madhya Pradesh,2023,5949,,,,,sll,table_1b.2.xlsx
Indore,Madhya Pradesh,2024,5191,,,239.5,99.8,sll,table_1b.2.xlsx
Jaipur,Rajasthan,2022,8790,,,,,sll,table_1b.2.xlsx
Jaipur,Rajasthan,2023,9266,,,,,sll,table_1b.2.xlsx
