crime_head,category,year,cases,crime_rate,ipc_cases,bns_cases,share_pct,source_table
Rape,IPC,2022,31516.0,2.3,,,,table_1.2.xlsx
Rape,IPC,2023,29670.0,2.1,,,,table_1.2.xlsx
Rape,IPC,2024,19683.0,9853.0,19683.0,9853.0,0.8,table_1.2.xlsx
Attempt to Commit Rape,IPC,2022,3288.0,0.2,,,,table_1.2.xlsx
Attempt to Commit Rape,IPC,2023,2796.0,0.2,,,,table_1.2.xlsx
Attempt to Commit Rape,IPC,2024,1503.0,1058.0,1503.0,1058.0,0.1,table_1.2.xlsx
Sexual Intercourse by employing deceitful means,IPC,2022,,,,,,table_1.2.xlsx
Sexual Intercourse by employing deceitful means,IPC,2023,,,,,,table_1.2.xlsx
Sexual Intercourse by employing deceitful means,IPC,2024,0.0,1325.0,0.0,1325.0,0.0,table_1.2.xlsx
Disclosure of Identity of Victim,IPC,2022,,,,,,table_1.2.xlsx
Disclosure of Identity of Victim,IPC,2023,,,,,,table_1.2.xlsx
Disclosure of Identity of Victim,IPC,2024,0.0,11.0,0.0,11.0,0.0,table_1.2.xlsx
Assault on Women with Intent to Outrage her Modesty,IPC,2022,44867.0,3.3,,,,table_1.2.xlsx
Assault on Women with Intent to Outrage her Modesty,IPC,2023,45086.0,3.2,,,,table_1.2.xlsx
Assault on Women with Intent to Outrage her Modesty,IPC,2024,25829.0,22474.0,25829.0,22474.0,1.4,table_1.2.xlsx
Sexual Harassment,IPC,2022,17809.0,1.3,,,,table_1.2.xlsx
Sexual Harassment,IPC,2023,17544.0,1.3,,,,table_1.2.xlsx
Sexual Harassment,IPC,2024,8130.0,7479.0,8130.0,7479.0,0.4,table_1.2.xlsx
at Office Premises,IPC,2022,419.0,0.0,,,,table_1.2.xlsx
at Office Premises,IPC,2023,381.0,0.0,,,,table_1.2.xlsx
at Office Premises,IPC,2024,305.0,83.0,305.0,83.0,0.0,table_1.2.xlsx
at Work Premises (Shops/Malls/Factories/Home etc),IPC,2022,,,,,,table_1.2.xlsx
at Work Premises (Shops/Malls/Factories/Home etc),IPC,2023,,,,,,table_1.2.xlsx
at Work Premises (Shops/Malls/Factories/Home etc),IPC,2024,0.0,512.0,0.0,512.0,0.0,table_1.2.xlsx
In Public Transport System,IPC,2022,422.0,0.0,,,,table_1.2.xlsx
In Public Transport System,IPC,2023,525.0,0.0,,,,table_1.2.xlsx
In Public Transport System,IPC,2024,291.0,168.0,291.0,168.0,0.0,table_1.2.xlsx
at Public Places/Pathway,IPC,2022,,,,,,table_1.2.xlsx
at Public Places/Pathway,IPC,2023,,,,,,table_1.2.xlsx
at Public Places/Pathway,IPC,2024,0.0,1469.0,0.0,1469.0,0.0,table_1.2.xlsx
In Shelter Homes for women and Children,IPC,2022,523.0,0.0,,,,table_1.2.xlsx
In Shelter Homes for women and Children,IPC,2023,401.0,0.0,,,,table_1.2.xlsx
In Shelter Homes for women and Children,IPC,2024,105.0,84.0,105.0,84.0,0.0,table_1.2.xlsx
Other Places,IPC,2022,16445.0,1.2,,,,table_1.2.xlsx
Other Places,IPC,2023,16237.0,1.2,,,,table_1.2.xlsx
Other Places,IPC,2024,7429.0,5163.0,7429.0,5163.0,0.4,table_1.2.xlsx
Assault or use of Criminal Force on women with intent to Disrobe,IPC,2022,9101.0,0.7,,,,table_1.2.xlsx
Assault or use of Criminal Force on women with intent to Disrobe,IPC,2023,9039.0,0.6,,,,table_1.2.xlsx
Assault or use of Criminal Force on women with intent to Disrobe,IPC,2024,4463.0,3946.0,4463.0,3946.0,0.2,table_1.2.xlsx
Voyeurism,IPC,2022,1451.0,0.1,,,,table_1.2.xlsx
Voyeurism,IPC,2023,1727.0,0.1,,,,table_1.2.xlsx
Voyeurism,IPC,2024,827.0,895.0,827.0,895.0,0.0,table_1.2.xlsx
Stalking,IPC,2022,10116.0,0.7,,,,table_1.2.xlsx
Stalking,IPC,2023,10495.0,0.8,,,,table_1.2.xlsx
Stalking,IPC,2024,5374.0,4491.0,5374.0,4491.0,0.3,table_1.2.xlsx
Insult to the Modesty of Women,IPC,2022,,,,,,table_1.2.xlsx
Insult to the Modesty of Women,IPC,2023,,,,,,table_1.2.xlsx
Insult to the Modesty of Women,IPC,2024,4495.0,4843.0,4495.0,4843.0,0.3,table_1.2.xlsx
Dowry Deaths,IPC,2022,6450.0,0.5,,,,table_1.2.xlsx
Dowry Deaths,IPC,2023,6156.0,0.4,,,,table_1.2.xlsx
Dowry Deaths,IPC,2024,3057.0,2680.0,3057.0,2680.0,0.2,table_1.2.xlsx
Cruelty by Husband or his Relatives,IPC,2022,,,,,,table_1.2.xlsx
Cruelty by Husband or his Relatives,IPC,2023,,,,,,table_1.2.xlsx
Cruelty by Husband or his Relatives,IPC,2024,78470.0,41757.0,78470.0,41757.0,3.4,table_1.2.xlsx
"Kidnapping, Abducting or Inducing of Women to compel her for marriage",IPC,2022,,,,,,table_1.2.xlsx
"Kidnapping, Abducting or Inducing of Women to compel her for marriage",IPC,2023,,,,,,table_1.2.xlsx
"Kidnapping, Abducting or Inducing of Women to compel her for marriage",IPC,2024,17415.0,11534.0,17415.0,11534.0,0.8,table_1.2.xlsx
Offences of Miscarriage,IPC,2022,236.0,,,,,table_1.2.xlsx
Offences of Miscarriage,IPC,2023,309.0,,,,,table_1.2.xlsx
Offences of Miscarriage,IPC,2024,172.0,127.0,172.0,127.0,0.0,table_1.2.xlsx
Foeticide,IPC,2022,102.0,,,,,table_1.2.xlsx
Foeticide,IPC,2023,88.0,,,,,table_1.2.xlsx
Foeticide,IPC,2024,59.0,81.0,59.0,81.0,0.0,table_1.2.xlsx
Infanticide,IPC,2022,83.0,,,,,table_1.2.xlsx
Infanticide,IPC,2023,67.0,,,,,table_1.2.xlsx
Infanticide,IPC,2024,31.0,25.0,31.0,25.0,0.0,table_1.2.xlsx
Exposure and Abandonment,IPC,2022,818.0,,,,,table_1.2.xlsx
Exposure and Abandonment,IPC,2023,653.0,,,,,table_1.2.xlsx
Exposure and Abandonment,IPC,2024,331.0,406.0,331.0,406.0,0.0,table_1.2.xlsx
"Hiring, employing or engaging a child to commit an offence",IPC,2022,,,,,,table_1.2.xlsx
"Hiring, employing or engaging a child to commit an offence",IPC,2023,,,,,,table_1.2.xlsx
"Hiring, employing or engaging a child to commit an offence",IPC,2024,0.0,1.0,0.0,1.0,0.0,table_1.2.xlsx
Procuration of Children,IPC,2022,,,,,,table_1.2.xlsx
Procuration of Children,IPC,2023,,,,,,table_1.2.xlsx
Procuration of Children,IPC,2024,1019.0,654.0,1019.0,654.0,0.0,table_1.2.xlsx
Kidnapping or Abducting a child with intent to steal from its persons,IPC,2022,,,,,,table_1.2.xlsx
Kidnapping or Abducting a child with intent to steal from its persons,IPC,2023,,,,,,table_1.2.xlsx
Kidnapping or Abducting a child with intent to steal from its persons,IPC,2024,0.0,16.0,0.0,16.0,0.0,table_1.2.xlsx
Selling of Child for Prostitution,IPC,2022,9.0,0.0,,,,table_1.2.xlsx
Selling of Child for Prostitution,IPC,2023,12.0,0.0,,,,table_1.2.xlsx
Selling of Child for Prostitution,IPC,2024,4.0,8.0,4.0,8.0,0.0,table_1.2.xlsx
Buying of Child for Prostitution,IPC,2022,3.0,0.0,,,,table_1.2.xlsx
Buying of Child for Prostitution,IPC,2023,4.0,0.0,,,,table_1.2.xlsx
Buying of Child for Prostitution,IPC,2024,1.0,3.0,1.0,3.0,0.0,table_1.2.xlsx
Offences against Women and Child (Total of Sl. 1-22),IPC,2022,,,,,,table_1.2.xlsx
Offences against Women and Child (Total of Sl. 1-22),IPC,2023,,,,,,table_1.2.xlsx
Offences against Women and Child (Total of Sl. 1-22),IPC,2024,170863.0,113667.0,170863.0,113667.0,8.0,table_1.2.xlsx
Murder,IPC,2022,28522.0,2.1,,,,table_1.2.xlsx
Murder,IPC,2023,27721.0,2.0,,,,table_1.2.xlsx
Murder,IPC,2024,14440.0,12609.0,14440.0,12609.0,0.8,table_1.2.xlsx
